,target
1,0
2,1
3,2
4,3
5,4
6,5
7,6
8,7
9,8
10,9
11,0
12,1
13,2
14,3
15,4
16,5
17,6
18,7
19,8
20,9
21,0
22,1
23,2
24,3
25,4
26,5
27,6
28,7
29,8
30,9
31,0
32,1
33,2
34,3
35,4
36,5
37,6
38,7
39,8
40,9
41,0
42,1
43,2
44,3
45,4
46,5
47,6
48,7
49,8
50,9
51,0
52,1
53,2
54,3
55,4
56,5
57,6
58,7
59,8
60,9
61,0
62,1
63,2
64,3
65,4
66,5
67,6
68,7
69,8
70,9
71,0
72,1
73,2
74,3
75,4
76,5
77,6
78,7
79,8
80,9
81,0
82,1
83,2
84,3
85,4
86,5
87,6
88,7
89,8
90,9
91,0
92,1
93,2
94,3
95,4
96,5
97,6
98,7
99,8
100,9
101,0
102,1
103,2
104,3
105,4
106,5
107,6
108,7
109,8
110,9
111,0
112,1
113,2
114,3
115,4
116,5
117,6
118,7
119,8
120,9
121,0
122,1
123,2
124,3
125,4
126,5
127,6
128,7
129,8
130,9
131,0
132,1
133,2
134,3
135,4
136,5
137,6
138,7
139,8
140,9
141,0
142,1
143,2
144,3
145,4
146,5
147,6
148,7
149,8
150,9
151,0
152,1
153,2
154,3
155,4
156,5
157,6
158,7
159,8
160,9
161,0
162,1
163,2
164,3
165,4
166,5
167,6
168,7
169,8
170,9
171,0
172,1
173,2
174,3
175,4
176,5
177,6
178,7
179,8
180,9
181,0
182,1
183,2
184,3
185,4
186,5
187,6
188,7
189,8
190,9
191,0
192,1
193,2
194,3
195,4
196,5
197,6
198,7
199,8
200,9
201,0
202,1
203,2
204,3
205,4
206,5
207,6
208,7
209,8
210,9
211,0
212,1
213,2
214,3
215,4
216,5
217,6
218,7
219,8
220,9
221,0
222,1
223,2
224,3
225,4
226,5
227,6
228,7
229,8
230,9
231,0
232,1
233,2
234,3
235,4
236,5
237,6
238,7
239,8
240,8
241,9
242,0
243,1
244,2
245,3
246,4
247,5
248,6
249,7
250,8
251,9
252,0
253,1
254,2
255,3
256,4
257,5
258,6
259,7
260,8
261,9
262,0
263,1
264,2
265,3
266,4
267,5
268,6
269,7
270,8
271,9
272,0
273,1
274,2
275,3
276,4
277,5
278,6
279,7
280,8
281,9
282,0
283,1
284,2
285,3
286,4
287,5
288,6
289,7
290,8
291,9
292,0
293,1
294,2
295,3
296,4
297,5
298,6
299,7
300,8
301,9
302,0
303,1
304,2
305,3
306,4
307,5
308,6
309,7
310,8
311,9
312,0
313,1
314,2
315,3
316,4
317,5
318,6
319,7
320,8
321,9
322,0
323,1
324,2
325,3
326,4
327,5
328,6
329,7
330,8
331,9
332,0
333,1
334,2
335,3
336,4
337,5
338,6
339,7
340,8
341,9
342,0
343,1
344,2
345,3
346,4
347,5
348,6
349,7
350,8
351,9
352,0
353,1
354,2
355,3
356,4
357,5
358,6
359,7
360,8
361,9
362,0
363,1
364,2
365,3
366,4
367,5
368,6
369,7
370,8
371,9
372,0
373,1
374,2
375,3
376,4
377,5
378,6
379,7
380,8
381,9
382,0
383,1
384,2
385,3
386,4
387,5
388,6
389,7
390,8
391,9
392,0
393,1
394,2
395,3
396,4
397,5
398,6
399,7
400,8
401,9
402,0
403,1
404,2
405,3
406,4
407,5
408,6
409,7
410,8
411,9
412,0
413,1
414,2
415,3
416,4
417,5
418,6
419,7
420,8
